FSC_median,FSC_mean,FSC_sd,FL1_median,FL1_mean,FL1_sd,normalizedGFP_median,normalizedGFP_mean,normalizedGFP_sd,PopProp_0copy,PopProp_1copy,PopProp_2copy,PopProp_3plus,Cells counted
DGY#2084_T0_E04,383007,418765.53309,188342.217288203,55531,59831.37618,51130.3299619374,0.172370902004383,0.143149519254796,0.0964558325759419,0.278625603544195,0.38209323928422,0.27893184161367,1.02079356491737e-05,97963
DGY#2086_T0_F04,262933.5,296234.32739,150885.202225994,34928,35779.54858,30738.9316224008,0.140984703071742,0.125870066503678,0.0897624932776005,0.292452528098882,0.336300660710664,0.193345928463928,2.13476789736036e-05,93687
DGY#2089_T0_G04,304476.5,339412.97729,170188.410779071,36534.5,38416.33332,32369.8632809134,0.126098237147888,0.114403985586642,0.0733705356087806,0.21600615141628,0.447806479768906,0.117531536399343,0,96238
DGY#2090_T0_H04,324932,363071.69541,177867.131907479,37919.5,39253.45531,35661.7557059464,0.124367929209866,0.110107801130565,0.0773265528586714,0.293170245157226,0.463961362801197,0.123166570423644,0,95245
DGY#1_T6_A01,244133.5,280377.41041,163531.446765722,656,858.164,2141.31093432719,0.00254085768403503,0.00339364792577506,0.00483234340815569,1.08027708506511,0.000155167636464395,9.97506234413965e-05,0,90225
DGY#620_T6_B01,247903.5,292283.70642,184550.466815049,35633,41100.68652,38790.6408176802,0.150074168425015,0.141033597274258,0.0818637946011697,0.182897654654097,0.369498487049802,0.188610816774631,0.000142009765902363,91543
DGY#500_T6_C01,266626.5,314920.06907,198768.407509745,40208,46466.13194,41493.7805562754,0.152276809327017,0.149925687876465,0.0812904907100134,0.144202169538973,0.4079476861167,0.225636427259207,0.00034992564080133,91448
DGY#1315_T6_D01,247780,293465.99075,210285.510215113,33158,38317.91074,39870.9097150781,0.142258396669238,0.131889948316609,0.0797505903967238,0.201548501271983,0.369394978431589,0.154120119455812,0.000110607233713085,90410
DGY#1657_T6_E01,332086.5,419206.22888,311665.326750361,1546,3700.68942,11240.825071911,0.00426269148407263,0.0118882850181618,0.0377531569009055,1.08030074479118,0.0165692467238616,0.0139412652022249,0,84856
DGY#2076_T6_F01,289955,334176.14236,202557.295873617,22914,24112.21271,22090.2611384994,0.078588014868011,0.0765173805830349,0.0543887106283097,0.266382852784829,0.178313280440746,0.0160157539470239,0,87851
