SAMPLE,STRAIN,POPULATION,VESSEL,TIMEPOINT,COUNT,FSC_MEDIAN,FSC_MEAN,FSC_SD,FL1_MEDIAN,FL1_MEAN,FL1_SD,NORMALIZED_GFP_MEDIAN,NORMALIZED_GFP_MEAN,NORMALIZED_GFP_SD,PopProp_0copy,PopProp_1copy,PopProp_2copy,PopProp_3plus,Cells counted
44,DGY#2089_T6_C02,DGY#2089,DNA_repair_mutant,11,6,90530,267518.5,305225.643212195,155190.222440515,71288,78702.9775433558,57275.8039821556,0.269732347220031,0.262278813005728,0.137203254970022,0.116127250635149,0.0553739092013697,0.666342648845687,0.0157075002761516,90530
45,DGY#2090_T6_D02,DGY#2090,DNA_repair_mutant,12,6,89489,260253,292823.753545128,142334.776218274,34368,36893.6479567321,29982.4450494837,0.141201733964839,0.126750606727261,0.0792073219390717,0.210953301523092,0.358133401870621,0.141257584731084,0.000201142039803775,89489
46,DGY#1972_T6_E02,DGY#1972,GAP1_location_mutant,13,6,91745,258693,292458.197166058,143398.313013193,78079,84761.6746089705,62623.341124173,0.306679626210625,0.296534938615615,0.162749855568728,0.128759060439261,0.0241648046215053,0.643751703090087,0.045223172924955,91745
47,DGY#2135_T6_F02,DGY#2135,GAP1_location_mutant,14,6,92282,272058,303107.730034026,139417.119139233,45435,47372.9834203853,32837.5534791124,0.161825403878547,0.159667592806804,0.0896282130218158,0.140482434277541,0.375544526559893,0.289742311610065,0.000151708892308359,92282
48,DGY#2143_T6_G02,DGY#2143,GAP1_location_mutant,15,6,95104,295042,326609.443661676,147368.693262354,50407,55871.8992261104,36308.8620014767,0.181870144357979,0.174038753080783,0.0803216984291087,0.0773784488559892,0.340080333109017,0.344433462314939,0.000105148048452221,95104
49,DGY#2144_T6_H02,DGY#2144,GAP1_location_mutant,16,6,89026,257750.5,290132.593377216,142524.32119458,29682.5,32330.9911935839,24932.0430926927,0.120866477779956,0.112597208038585,0.0642033557528175,0.180610158830005,0.364376698941882,0.0656774425448745,8.9861388807764e-05,89026
50,DGY#1657_T6_A03,DGY#1657,Wild_Type,17,6,90699,267270,306018.093804783,158409.505018909,40430,44761.8640227566,31077.3402839115,0.151513634391375,0.150843161942913,0.0734301124681396,0.101004421217433,0.406917386079229,0.194125624317798,0.000231535077564251,90699
51,DGY#2076_T6_B03,DGY#2076,Genomic_Architecture_Mutant,18,6,90680,253733,285935.427580503,137852.158702317,43083,45998.1957212175,31671.1891609837,0.168599404386582,0.165925223848061,0.0900541833684275,0.130535950595501,0.321074106749007,0.296912218791354,0.000672695191883547,90680
52,DGY#2071_T6_C03,DGY#2071,Genomic_Architecture_Mutant,19,6,91938,271723,308505.382388131,155170.224712341,36831.5,40820.0325871783,31464.097682878,0.138935540929617,0.133614513874328,0.0731030308200808,0.146729317583589,0.40776392786443,0.148197698448955,0.00013052274358807,91938
53,DGY#2150_T6_D03,DGY#2150,Genomic_Architecture_Mutant,20,6,92849,282570,322706.763573113,162540.101727443,44552,49760.2775904964,34201.2510459989,0.155075123362514,0.155695249167304,0.0716314984865381,0.0873676614718522,0.440080130103717,0.231526456935454,0.000226173679845771,92849
54,DGY#2084_T6_E03,DGY#2084,DNA_repair_mutant,21,6,90770,263274,299334.234868349,147021.035250341,44834,48459.5357717307,32539.0959426604,0.166853929640468,0.167745013879698,0.0885376239299294,0.113903272006169,0.350269912966839,0.298435606477911,0.000649994491572105,90770
55,DGY#2086_T6_F03,DGY#2086,DNA_repair_mutant,22,6,90530,245397.5,278187.232519607,138210.604499326,35244,39280.1596597813,23023.1950606817,0.141178455742899,0.146429379425265,0.0556806855816888,0.0438418203910306,0.410471666850768,0.126731470230863,3.31381862366066e-05,90530
56,DGY#2089_T6_G03,DGY#2089,DNA_repair_mutant,23,6,86368,306594,338771.573059466,159764.375688994,25204.5,26390.0763592997,18452.9413507159,0.0820774713126167,0.0821853288813982,0.0476709385979738,0.155103742126714,0.188229436828455,0.0123888477213783,0,86368
