Generation,Sample,Well,Nutrient,Pump,Strain,Population,FSC_median,FSC_mean,FSC_sd,FL1_median,FL1_mean,FL1_sd,normalizedGFP_median,normalizedGFP_mean,normalizedGFP_sd,PopProp_0copy,PopProp_1copy,PopProp_2copy,PopProp_3plus,Cells counted,Proportion_total,
12,gln_h_bc05,F04,Glutamine,8,DGY1706bc,Experimental,245950,279283.9676,132069.5375,44323,48848.94911,22863.26897,0.1710277172,0.1838466013,0.06212908493,0.007374600013,0.9089512386,0.08899319757,0,94378,1.005319036,
12,ur_h_ctrl1 C06 13 Urea DGY500 1_copy_ctrl,,,,,,312947,349825.6842,153637.3448,66085,72840.1218,33163.78201,0.2030886029,0.2150633532,0.06505881691,0.006262214017,0.8942765523,0.09787408631,0,92619,0.9984128527,
12,ur_h_bc03 C07 17 Urea DGY1706bc Experimental,,,,,,264147,302865.9547,150974.9769,42542,47747.80468,29085.96339,0.1552151292,0.1590859253,0.05919464714,0.05276430118,0.9059836088,0.03697612587,0,36483,0.9957240359,
12,ur_h_bc07 C08 21 Urea DGY1706bc Experimental,,,,,,283989.5,318869.2633,146740.0342,53063,57572.05342,32435.47364,0.1780177201,0.1831287779,0.07508983597,0.06279668517,0.8729181752,0.06183120122,0,24858,0.9975460616,
12,ur_h_ctrl2 D06 14 Urea DGY1315 2_copy_ctrl,,,,,,275500,307415.8216,136865.0739,100385,110973.0068,52207.1571,0.3503508066,0.3728241608,0.1171634173,0.009100659453,0.3347598467,0.6618738651,4.25E-05,94169,1.005776848,
12,ur_h_bc04 D07 18 Urea DGY1706bc Experimental,,,,,,230502,258033.6661,117323.5616,36709,40991.70713,21685.92096,0.156633605,0.1613324328,0.05056341482,0.02886880933,0.9159556216,0.04591101453,0,43715,0.9907354455,
12,ur_h_bc08 D08 22 Urea DGY1706bc Experimental,,,,,,226246,255363.0391,122043.5445,33228,38473.34173,22420.90071,0.1480517081,0.151445225,0.04509925139,0.0273921637,0.9169863969,0.04611091734,0,43005,0.990489478,
12,ur_h_bc01 E06 15 Urea DGY1706bc Experimental,,,,,,230271,262693.2357,130731.4111,34000,38800.29076,26724.52234,0.1527502123,0.1499784745,0.06430037417,0.098541556,0.836407978,0.05570579997,0,82828,0.9906553339,
12,ur_h_bc05 E07 19 Urea DGY1706bc Experimental,,,,,,248329,273122.0529,114623.741,42735.5,46467.84989,21907.56939,0.1650743069,0.1741510552,0.05717979307,0.02089386655,0.9283110571,0.0460668815,0,37858,0.9952718052,
12,ur_h_ctrl0 F05 12 Urea DGY1 0_copy_ctrl,,,,,,249177,280795.69,132076.4157,751,1114.82642,1237.275814,0.00277836982,0.004398411105,0.005217664199,0.9994504982,0.001327098734,0,0,96451,1.000777597,
